Reporting Country/ Territory/Area	Total confirmed cases	Total confirmed new cases	Total deaths	Total new deaths
Republic of Korea	11,050	13	262	0
Australia	7,036	17	98	0
Malaysia	6,872	17	113	1
New Zealand	1,149	1	21	0
Viet Nam	318	5	0	0
Brunei Darussalam	141	0	1	0
Mongolia	135	37	0	0
Cambodia	122	0	0	0
Lao People's Democratic Republic	19	0	0	0
Fiji	18	0	0	0
Papua New Guinea	8	0	0	0
Guam	149	0	5	0
French Polynesia	60	0	0	0
Northern Mariana Islands (Commonwealth of the)	21	2	2	0
New Caledonia	18	0	0	0
